wl,intensity
670,0.0010633
670.5,0.0010833
671,0.0010254
671.5,0.00097712
672,0.0009301
672.5,0.00091204
673,0.00087853
673.5,0.00086077
674,0.00078765
674.5,0.0007889
675,0.00076026
675.5,0.00077746
676,0.00073842
676.5,0.00073411
677,0.00072337
677.5,0.00071518
678,0.00066453
678.5,0.00066049
679,0.00064792
679.5,0.00066818
680,0.00063068
680.5,0.00062177
681,0.00062102
681.5,0.0005922
682,0.00054359
682.5,0.00048649
683,0.00050149
683.5,0.00050825
684,0.00045188
684.5,0.00038367
685,0.00035669
685.5,0.00039537
686,0.00050453
686.5,0.00054589
687,0.00050165
687.5,0.00038032
688,0.00037339
688.5,0.00039242
689,0.00041071
689.5,0.00038239
690,0.00038886
690.5,0.00037822
691,0.00034639
691.5,0.00031781
692,0.0003332
692.5,0.00034777
693,0.00033341
693.5,0.00028011
694,0.00023009
694.5,0.00018507
695,0.000219
695.5,0.0001986
696,0.00018478
696.5,0.0001265
697,0.00014983
697.5,0.00015749
698,0.00019509
698.5,0.00020306
699,0.0002272
699.5,0.00022777
700,0.00020832
700.5,0.00019888
701,0.00021148
701.5,0.00025075
702,0.00025153
702.5,0.00024733
703,0.00021905
703.5,0.00015489
704,0.000088315
704.5,0.00010178
705,0.0001253
705.5,0.00012661
706,0.000037877
707.5,0.00013135
708,0.00026212
708.5,0.00030468
709,0.00027634
709.5,0.00017401
710,0.00011046
710.5,0.000073995
711,0.00010225
711.5,0.000086839
712,0.000032133
712.5,0.0000023059
713,0.000017295
713.5,0.000029779
714,0.000011197
750.5,0.00017438
751,0.00040676
751.5,0.00031362
